Pipeline prepared. Device is cuda:0
Pipeline prepared. Device is cuda:0
Pipeline prepared. Device is cuda:0
[RESULT]: Train. Epoch: 0, loss: 0.18514
[RESULT]: Test. Epoch: 0, loss: 0.10838
[RESULT]: Train. Epoch: 1, loss: 0.07132
[RESULT]: Test. Epoch: 1, loss: 0.15785
[RESULT]: Train. Epoch: 2, loss: 0.05549
[RESULT]: Test. Epoch: 2, loss: 0.06364
[RESULT]: Train. Epoch: 3, loss: 0.04770
[RESULT]: Test. Epoch: 3, loss: 0.05180
[RESULT]: Train. Epoch: 4, loss: 0.03781
[RESULT]: Test. Epoch: 4, loss: 0.04321
[RESULT]: Train. Epoch: 5, loss: 0.03791
[RESULT]: Test. Epoch: 5, loss: 0.04367
[RESULT]: Train. Epoch: 6, loss: 0.03507
[RESULT]: Test. Epoch: 6, loss: 0.04098
[RESULT]: Train. Epoch: 7, loss: 0.03148
[RESULT]: Test. Epoch: 7, loss: 0.02878
[RESULT]: Train. Epoch: 8, loss: 0.02897
[RESULT]: Test. Epoch: 8, loss: 0.03335
[RESULT]: Train. Epoch: 9, loss: 0.02743
[RESULT]: Test. Epoch: 9, loss: 0.04627
[RESULT]: Train. Epoch: 10, loss: 0.02581
[RESULT]: Test. Epoch: 10, loss: 0.02793
[RESULT]: Train. Epoch: 11, loss: 0.02610
[RESULT]: Test. Epoch: 11, loss: 0.02434
[RESULT]: Train. Epoch: 12, loss: 0.02577
[RESULT]: Test. Epoch: 12, loss: 0.02405
[RESULT]: Train. Epoch: 13, loss: 0.02679
[RESULT]: Test. Epoch: 13, loss: 0.03621
[RESULT]: Train. Epoch: 14, loss: 0.02623
[RESULT]: Test. Epoch: 14, loss: 0.02419
[RESULT]: Train. Epoch: 15, loss: 0.02261
[RESULT]: Test. Epoch: 15, loss: 0.02378
[RESULT]: Train. Epoch: 16, loss: 0.02158
[RESULT]: Test. Epoch: 16, loss: 0.02244
[RESULT]: Train. Epoch: 17, loss: 0.02182
[RESULT]: Test. Epoch: 17, loss: 0.02055
[RESULT]: Train. Epoch: 18, loss: 0.02072
[RESULT]: Test. Epoch: 18, loss: 0.02131
[RESULT]: Train. Epoch: 19, loss: 0.02337
[RESULT]: Test. Epoch: 19, loss: 0.02628
[RESULT]: Train. Epoch: 20, loss: 0.01996
[RESULT]: Test. Epoch: 20, loss: 0.01830
[RESULT]: Train. Epoch: 21, loss: 0.01883
[RESULT]: Test. Epoch: 21, loss: 0.02069
[RESULT]: Train. Epoch: 22, loss: 0.02471
[RESULT]: Test. Epoch: 22, loss: 0.02812
[RESULT]: Train. Epoch: 23, loss: 0.01961
[RESULT]: Test. Epoch: 23, loss: 0.02151
[RESULT]: Train. Epoch: 24, loss: 0.01846
[RESULT]: Test. Epoch: 24, loss: 0.01786
[RESULT]: Train. Epoch: 25, loss: 0.02017
[RESULT]: Test. Epoch: 25, loss: 0.02102
[RESULT]: Train. Epoch: 26, loss: 0.02098
[RESULT]: Test. Epoch: 26, loss: 0.01943
[RESULT]: Train. Epoch: 27, loss: 0.01726
[RESULT]: Test. Epoch: 27, loss: 0.01833
[RESULT]: Train. Epoch: 28, loss: 0.01843
[RESULT]: Test. Epoch: 28, loss: 0.04187
[RESULT]: Train. Epoch: 29, loss: 0.01948
[RESULT]: Test. Epoch: 29, loss: 0.02370
[RESULT]: Train. Epoch: 30, loss: 0.02029
[RESULT]: Test. Epoch: 30, loss: 0.01957
[RESULT]: Train. Epoch: 31, loss: 0.01662
[RESULT]: Test. Epoch: 31, loss: 0.01661
